date,race_number,header,race_name,Going :,race_desc,Course :,prize_money,Time 1:,Time 2:,Time 3:,Sectional Time 1:,Time 4:,Time 5:
2025-04-13,1,RACE 1 (581),Griffin Race - 1000M,GOOD,RACING FOR CHARITY 1000M PLATE,"TURF - ""C"" Course","HK$ 950,000",(13.15),(34.03),(56.65),13.15,,
2025-04-13,6,RACE 6 (586),,,,,"HK$ 1,170,000",(13.40),(34.97),(58.06),13.4,(1:21.57),
2025-04-13,7,RACE 7 (587),,,,,"HK$ 1,170,000",(13.34),(34.32),(57.56),13.34,(1:21.71),
2025-04-13,8,RACE 8 (588),,,,,"HK$ 3,720,000",(13.81),(36.06),(58.16),13.81,(1:20.69),
2025-04-13,4,RACE 4 (584),,,,,"HK$ 1,170,000",(23.62),(45.37),(1:09.04),23.62,,
2025-04-13,5,RACE 5 (585),,,,,"HK$ 2,840,000",(23.08),(44.85),(1:08.37),23.08,,
2025-04-13,9,RACE 9 (589),,,,,"HK$ 1,860,000",(12.85),(33.78),(56.75),12.85,,
2025-04-13,10,RACE 10 (590),,,,,"HK$ 2,050,000",(13.88),(36.23),(1:00.23),13.88,(1:23.94),(1:47.04)
2025-04-13,2,RACE 2 (582),,,,,"HK$ 1,170,000",(12.87),(33.98),(56.83),12.87,,
2025-04-13,3,RACE 3 (583),,,,,"HK$ 875,000",(24.75),(47.68),(1:10.19),24.75,,
2023-09-17,1,RACE 1 (19),,,,,"HK$ 1,860,000",(23.53),(45.37),(1:08.93),23.53,,
2023-09-17,6,RACE 6 (24),,,,,"HK$ 1,170,000",(24.87),(47.85),(1:11.58),24.87,(1:35.09),
2023-09-17,7,RACE 7 (25),,,,,"HK$ 1,860,000",(23.84),(45.77),(1:08.51),23.84,,
2023-09-17,8,RACE 8 (26),,,,,"HK$ 1,170,000",(23.68),(45.84),(1:09.32),23.68,,
2023-09-17,4,RACE 4 (22),,,,,"HK$ 875,000",(13.66),(35.74),(58.74),13.66,(1:21.98),
2023-09-17,5,RACE 5 (23),,,,,"HK$ 1,170,000",(23.26),(45.64),(1:09.35),23.26,,
2023-09-17,9,RACE 9 (27),,,,,"HK$ 1,170,000",(13.45),(35.01),(58.30),13.45,(1:21.98),
2023-09-17,10,RACE 10 (28),,,,,"HK$ 1,860,000",(13.40),(35.15),(57.97),13.4,(1:21.76),
2023-09-17,2,RACE 2 (20),,,,,"HK$ 875,000",(13.53),(35.54),(58.82),13.53,(1:22.37),
2023-09-17,3,RACE 3 (21),,,,,"HK$ 2,840,000",(13.12),(33.87),(56.07),13.12,,
